task_id,taxonomy,profile,n_candidates,topsis_rank,wa_rank,kendall_tau,spearman_rho,top1_agrees,topsis_winner,wa_winner,topsis_utility,wa_regret
1,infra.database.postgres,quality_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,1.0,True,neon/serverless-postgres@v1,neon/serverless-postgres@v1,1.0,0.0
2,infra.compute.gpu,speed_first,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,runpod/gpu-serverless@1.0,runpod/gpu-serverless@1.0,1.0,0.0
3,ai.audio.stt,balanced,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
4,tool.communication.chat,quality_first,2,"[""discord/api@v10"", ""slack/web-api@v2""]","[""discord/api@v10"", ""slack/web-api@v2""]",1.0,1.0,True,discord/api@v10,discord/api@v10,0.9966,0.0
5,infra.database.postgres,speed_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,1.0,True,neon/serverless-postgres@v1,neon/serverless-postgres@v1,1.0,0.0
6,tool.productivity.todo,quality_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""ticktick/api@v2"", ""todoist/api@v2"", ""google/tasks-api@v1""]",0.3333333333333333,0.5,False,todoist/api@v2,ticktick/api@v2,0.8911,0.23029999999999995
7,ai.audio.tts,speed_first,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",-1.0,-1.0,False,openai/tts-1@1.0,elevenlabs/tts-v2@2.0,0.6073,0.21459999999999996
8,ai.llm.embedding,cost_first,2,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]","[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]",1.0,1.0,True,openai/text-embedding-3-large@3.0,openai/text-embedding-3-large@3.0,0.9671,0.0
9,ai.audio.stt,balanced,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
10,tool.devops.ci,quality_first,2,"[""github/actions@v2"", ""circleci/cloud@v2""]","[""github/actions@v2"", ""circleci/cloud@v2""]",1.0,1.0,True,github/actions@v2,github/actions@v2,0.8259,0.0
11,tool.productivity.todo,cost_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,1.0,True,todoist/api@v2,todoist/api@v2,0.8996,0.0
12,tool.data.scraping,balanced,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,1.0,True,jina/reader@v1,jina/reader@v1,0.9995,0.0
13,ai.video.generation,cost_first,2,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]","[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]",1.0,1.0,True,kuaishou/kling-3.0@3.0,kuaishou/kling-3.0@3.0,0.9585,0.0
14,tool.devops.ci,speed_first,2,"[""circleci/cloud@v2"", ""github/actions@v2""]","[""circleci/cloud@v2"", ""github/actions@v2""]",1.0,1.0,True,circleci/cloud@v2,circleci/cloud@v2,0.5259,0.0
15,tool.devops.deployment,speed_first,2,"[""vercel/platform@v1"", ""fly/machines@v1""]","[""vercel/platform@v1"", ""fly/machines@v1""]",1.0,1.0,True,vercel/platform@v1,vercel/platform@v1,1.0,0.0
16,tool.data.scraping,quality_first,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,1.0,True,jina/reader@v1,jina/reader@v1,0.9991,0.0
17,tool.data.search,balanced,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""exa/search-api@v1"", ""tavily/search-api@v1""]",-1.0,-1.0,False,tavily/search-api@v1,exa/search-api@v1,0.8238,0.6476
18,tool.productivity.todo,speed_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,1.0,True,todoist/api@v2,todoist/api@v2,0.9836,0.0
19,infra.compute.gpu,quality_first,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,runpod/gpu-serverless@1.0,runpod/gpu-serverless@1.0,1.0,0.0
20,tool.productivity.todo,quality_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""ticktick/api@v2"", ""todoist/api@v2"", ""google/tasks-api@v1""]",0.3333333333333333,0.5,False,todoist/api@v2,ticktick/api@v2,0.8911,0.23029999999999995
21,ai.audio.stt,cost_first,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
22,ai.nlp.translation,cost_first,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
23,tool.communication.chat,speed_first,2,"[""discord/api@v10"", ""slack/web-api@v2""]","[""discord/api@v10"", ""slack/web-api@v2""]",1.0,1.0,True,discord/api@v10,discord/api@v10,0.9992,0.0
24,infra.compute.gpu,balanced,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,runpod/gpu-serverless@1.0,runpod/gpu-serverless@1.0,1.0,0.0
25,tool.communication.email,cost_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,resend/email-api@v1,resend/email-api@v1,1.0,0.0
26,tool.data.search,quality_first,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""exa/search-api@v1"", ""tavily/search-api@v1""]",-1.0,-1.0,False,tavily/search-api@v1,exa/search-api@v1,0.6015,0.203
27,ai.nlp.translation,balanced,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
28,tool.data.scraping,quality_first,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,1.0,True,jina/reader@v1,jina/reader@v1,0.9991,0.0
29,ai.audio.stt,speed_first,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
30,infra.database.postgres,quality_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,1.0,True,neon/serverless-postgres@v1,neon/serverless-postgres@v1,1.0,0.0
31,tool.communication.chat,balanced,2,"[""discord/api@v10"", ""slack/web-api@v2""]","[""discord/api@v10"", ""slack/web-api@v2""]",1.0,1.0,True,discord/api@v10,discord/api@v10,0.9955,0.0
32,tool.communication.email,speed_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,resend/email-api@v1,resend/email-api@v1,1.0,0.0
33,tool.data.search,balanced,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""exa/search-api@v1"", ""tavily/search-api@v1""]",-1.0,-1.0,False,tavily/search-api@v1,exa/search-api@v1,0.8238,0.6476
34,ai.code.completion,quality_first,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,github/copilot@v1,github/copilot@v1,1.0,0.0
35,tool.data.search,quality_first,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""exa/search-api@v1"", ""tavily/search-api@v1""]",-1.0,-1.0,False,tavily/search-api@v1,exa/search-api@v1,0.6015,0.203
36,infra.compute.gpu,cost_first,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,runpod/gpu-serverless@1.0,runpod/gpu-serverless@1.0,1.0,0.0
37,tool.automation.browser,quality_first,2,"[""steel/browser@v1"", ""browserbase/api@v1""]","[""steel/browser@v1"", ""browserbase/api@v1""]",1.0,1.0,True,steel/browser@v1,steel/browser@v1,0.9949,0.0
38,tool.productivity.spreadsheet,quality_first,2,"[""google/sheets-api@v4"", ""airtable/api@v1""]","[""google/sheets-api@v4"", ""airtable/api@v1""]",1.0,1.0,True,google/sheets-api@v4,google/sheets-api@v4,1.0,0.0
39,ai.video.generation,quality_first,2,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]","[""google/veo-3.1@3.1"", ""kuaishou/kling-3.0@3.0""]",-1.0,-1.0,False,kuaishou/kling-3.0@3.0,google/veo-3.1@3.1,0.6769,0.35379999999999995
40,tool.data.scraping,quality_first,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,1.0,True,jina/reader@v1,jina/reader@v1,0.9991,0.0
41,ai.vision.image_generation,quality_first,3,"[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]","[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]",1.0,1.0,True,black-forest-labs/flux-1.1-pro@1.1,black-forest-labs/flux-1.1-pro@1.1,0.9968,0.0
42,ai.audio.tts,quality_first,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",-1.0,-1.0,False,openai/tts-1@1.0,elevenlabs/tts-v2@2.0,0.5757,0.15139999999999998
43,ai.video.generation,speed_first,2,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]","[""google/veo-3.1@3.1"", ""kuaishou/kling-3.0@3.0""]",-1.0,-1.0,False,kuaishou/kling-3.0@3.0,google/veo-3.1@3.1,0.5357,0.07139999999999996
44,infra.database.postgres,balanced,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,1.0,True,neon/serverless-postgres@v1,neon/serverless-postgres@v1,1.0,0.0
45,tool.productivity.todo,quality_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""ticktick/api@v2"", ""todoist/api@v2"", ""google/tasks-api@v1""]",0.3333333333333333,0.5,False,todoist/api@v2,ticktick/api@v2,0.8911,0.23029999999999995
46,ai.vision.image_generation,speed_first,3,"[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]","[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]",1.0,1.0,True,black-forest-labs/flux-1.1-pro@1.1,black-forest-labs/flux-1.1-pro@1.1,0.9982,0.0
47,ai.audio.tts,speed_first,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",-1.0,-1.0,False,openai/tts-1@1.0,elevenlabs/tts-v2@2.0,0.6073,0.21459999999999996
48,tool.devops.ci,speed_first,2,"[""circleci/cloud@v2"", ""github/actions@v2""]","[""circleci/cloud@v2"", ""github/actions@v2""]",1.0,1.0,True,circleci/cloud@v2,circleci/cloud@v2,0.5259,0.0
49,ai.llm.embedding,cost_first,2,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]","[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]",1.0,1.0,True,openai/text-embedding-3-large@3.0,openai/text-embedding-3-large@3.0,0.9671,0.0
50,infra.database.postgres,quality_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,1.0,True,neon/serverless-postgres@v1,neon/serverless-postgres@v1,1.0,0.0
51,ai.audio.stt,balanced,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
52,ai.code.completion,quality_first,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,github/copilot@v1,github/copilot@v1,1.0,0.0
53,tool.data.search,speed_first,2,"[""exa/search-api@v1"", ""tavily/search-api@v1""]","[""exa/search-api@v1"", ""tavily/search-api@v1""]",1.0,1.0,True,exa/search-api@v1,exa/search-api@v1,0.5371,0.0
54,ai.llm.chat,balanced,8,"[""minimax/m2.7@2.7"", ""deepseek/deepseek-v4-flash@4.0"", ""qwen/qwen3-max@3.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5"", ""openai/gpt-4o@2024-11-20"", ""google/gemini-2.5-pro@2.5"", ""anthropic/claude-sonnet-4@4.0""]","[""openai/gpt-4o@2024-11-20"", ""minimax/m2.7@2.7"", ""qwen/qwen3-max@3.0"", ""anthropic/claude-sonnet-4@4.0"", ""google/gemini-2.5-pro@2.5"", ""deepseek/deepseek-v4-flash@4.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5""]",0.07142857142857142,0.04761904761904767,False,minimax/m2.7@2.7,openai/gpt-4o@2024-11-20,0.8868,0.46680000000000005
55,ai.vision.image_generation,cost_first,3,"[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]","[""black-forest-labs/flux-1.1-pro@1.1"", ""google/imagen-3@3.0"", ""openai/dall-e-3@3.0""]",1.0,1.0,True,black-forest-labs/flux-1.1-pro@1.1,black-forest-labs/flux-1.1-pro@1.1,0.9953,0.0
56,ai.nlp.translation,cost_first,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
57,ai.llm.embedding,quality_first,2,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]","[""voyageai/voyage-3-large@3.0"", ""openai/text-embedding-3-large@3.0""]",-1.0,-1.0,False,openai/text-embedding-3-large@3.0,voyageai/voyage-3-large@3.0,0.8629,0.7258
58,ai.audio.stt,cost_first,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
59,ai.llm.embedding,quality_first,2,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]","[""voyageai/voyage-3-large@3.0"", ""openai/text-embedding-3-large@3.0""]",-1.0,-1.0,False,openai/text-embedding-3-large@3.0,voyageai/voyage-3-large@3.0,0.8629,0.7258
60,ai.nlp.translation,balanced,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
61,infra.compute.gpu,quality_first,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,runpod/gpu-serverless@1.0,runpod/gpu-serverless@1.0,1.0,0.0
62,ai.code.completion,cost_first,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,github/copilot@v1,github/copilot@v1,1.0,0.0
63,tool.devops.ci,cost_first,2,"[""circleci/cloud@v2"", ""github/actions@v2""]","[""circleci/cloud@v2"", ""github/actions@v2""]",1.0,1.0,True,circleci/cloud@v2,circleci/cloud@v2,0.6864,0.0
64,tool.communication.email,cost_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,resend/email-api@v1,resend/email-api@v1,1.0,0.0
65,tool.communication.email,cost_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,resend/email-api@v1,resend/email-api@v1,1.0,0.0
66,infra.database.vector,quality_first,2,"[""qdrant/cloud@v1"", ""pinecone/index@v3""]","[""qdrant/cloud@v1"", ""pinecone/index@v3""]",1.0,1.0,True,qdrant/cloud@v1,qdrant/cloud@v1,0.9988,0.0
