task_id,taxonomy,profile,n_candidates,topsis_rank,wa_rank,kendall_tau,spearman_rho,top1_agrees,topsis_winner,wa_winner,topsis_utility,wa_regret
67,infra.database.vector,speed_first,2,"[""qdrant/cloud@v1"", ""pinecone/index@v3""]","[""qdrant/cloud@v1"", ""pinecone/index@v3""]",1.0,1.0,True,qdrant/cloud@v1,qdrant/cloud@v1,0.9997,0.0
68,tool.productivity.spreadsheet,cost_first,2,"[""google/sheets-api@v4"", ""airtable/api@v1""]","[""google/sheets-api@v4"", ""airtable/api@v1""]",1.0,1.0,True,google/sheets-api@v4,google/sheets-api@v4,1.0,0.0
69,tool.communication.chat,cost_first,2,"[""discord/api@v10"", ""slack/web-api@v2""]","[""discord/api@v10"", ""slack/web-api@v2""]",1.0,1.0,True,discord/api@v10,discord/api@v10,0.9955,0.0
70,ai.code.completion,cost_first,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,github/copilot@v1,github/copilot@v1,1.0,0.0
71,tool.automation.browser,quality_first,2,"[""steel/browser@v1"", ""browserbase/api@v1""]","[""steel/browser@v1"", ""browserbase/api@v1""]",1.0,1.0,True,steel/browser@v1,steel/browser@v1,0.9949,0.0
72,infra.compute.gpu,quality_first,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,runpod/gpu-serverless@1.0,runpod/gpu-serverless@1.0,1.0,0.0
73,ai.audio.stt,balanced,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
74,ai.code.completion,balanced,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,github/copilot@v1,github/copilot@v1,1.0,0.0
75,tool.data.search,speed_first,2,"[""exa/search-api@v1"", ""tavily/search-api@v1""]","[""exa/search-api@v1"", ""tavily/search-api@v1""]",1.0,1.0,True,exa/search-api@v1,exa/search-api@v1,0.5371,0.0
76,ai.video.generation,balanced,2,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]","[""google/veo-3.1@3.1"", ""kuaishou/kling-3.0@3.0""]",-1.0,-1.0,False,kuaishou/kling-3.0@3.0,google/veo-3.1@3.1,0.8635,0.7270000000000001
77,ai.audio.stt,balanced,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
78,infra.compute.gpu,balanced,2,"[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]","[""runpod/gpu-serverless@1.0"", ""replicate/gpu-serverless@1.0""]",1.0,1.0,True,runpod/gpu-serverless@1.0,runpod/gpu-serverless@1.0,1.0,0.0
79,tool.productivity.todo,quality_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""ticktick/api@v2"", ""todoist/api@v2"", ""google/tasks-api@v1""]",0.3333333333333333,0.5,False,todoist/api@v2,ticktick/api@v2,0.8911,0.23029999999999995
80,ai.audio.stt,quality_first,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
81,ai.audio.tts,balanced,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",-1.0,-1.0,False,openai/tts-1@1.0,elevenlabs/tts-v2@2.0,0.8587,0.7174
82,ai.audio.stt,quality_first,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
83,tool.data.scraping,balanced,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,1.0,True,jina/reader@v1,jina/reader@v1,0.9995,0.0
84,tool.productivity.spreadsheet,cost_first,2,"[""google/sheets-api@v4"", ""airtable/api@v1""]","[""google/sheets-api@v4"", ""airtable/api@v1""]",1.0,1.0,True,google/sheets-api@v4,google/sheets-api@v4,1.0,0.0
85,tool.data.search,cost_first,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""tavily/search-api@v1"", ""exa/search-api@v1""]",1.0,1.0,True,tavily/search-api@v1,tavily/search-api@v1,0.9436,0.0
86,ai.nlp.translation,balanced,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
87,ai.llm.chat,quality_first,8,"[""minimax/m2.7@2.7"", ""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0"", ""deepseek/deepseek-v4-flash@4.0"", ""google/gemini-2.5-pro@2.5"", ""qwen/qwen3-max@3.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5""]","[""openai/gpt-4o@2024-11-20"", ""anthropic/claude-sonnet-4@4.0"", ""google/gemini-2.5-pro@2.5"", ""minimax/m2.7@2.7"", ""qwen/qwen3-max@3.0"", ""zhipu/glm-5@5.0"", ""deepseek/deepseek-v4-flash@4.0"", ""moonshot/kimi-k2.5@2.5""]",0.5714285714285714,0.6904761904761905,False,minimax/m2.7@2.7,openai/gpt-4o@2024-11-20,0.7871,0.10509999999999997
88,tool.communication.email,balanced,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,resend/email-api@v1,resend/email-api@v1,1.0,0.0
89,infra.database.vector,balanced,2,"[""qdrant/cloud@v1"", ""pinecone/index@v3""]","[""pinecone/index@v3"", ""qdrant/cloud@v1""]",-1.0,-1.0,False,qdrant/cloud@v1,pinecone/index@v3,0.9984,0.9967999999999999
90,infra.database.vector,cost_first,2,"[""qdrant/cloud@v1"", ""pinecone/index@v3""]","[""pinecone/index@v3"", ""qdrant/cloud@v1""]",-1.0,-1.0,False,qdrant/cloud@v1,pinecone/index@v3,0.9984,0.9967999999999999
91,tool.productivity.todo,speed_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,1.0,True,todoist/api@v2,todoist/api@v2,0.9836,0.0
92,tool.productivity.spreadsheet,speed_first,2,"[""google/sheets-api@v4"", ""airtable/api@v1""]","[""google/sheets-api@v4"", ""airtable/api@v1""]",1.0,1.0,True,google/sheets-api@v4,google/sheets-api@v4,1.0,0.0
93,infra.database.vector,speed_first,2,"[""qdrant/cloud@v1"", ""pinecone/index@v3""]","[""qdrant/cloud@v1"", ""pinecone/index@v3""]",1.0,1.0,True,qdrant/cloud@v1,qdrant/cloud@v1,0.9997,0.0
94,ai.code.completion,quality_first,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,github/copilot@v1,github/copilot@v1,1.0,0.0
95,tool.communication.email,cost_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,resend/email-api@v1,resend/email-api@v1,1.0,0.0
96,tool.productivity.todo,cost_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,1.0,True,todoist/api@v2,todoist/api@v2,0.8996,0.0
97,tool.devops.ci,quality_first,2,"[""github/actions@v2"", ""circleci/cloud@v2""]","[""github/actions@v2"", ""circleci/cloud@v2""]",1.0,1.0,True,github/actions@v2,github/actions@v2,0.8259,0.0
98,tool.productivity.spreadsheet,speed_first,2,"[""google/sheets-api@v4"", ""airtable/api@v1""]","[""google/sheets-api@v4"", ""airtable/api@v1""]",1.0,1.0,True,google/sheets-api@v4,google/sheets-api@v4,1.0,0.0
99,ai.audio.tts,speed_first,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",-1.0,-1.0,False,openai/tts-1@1.0,elevenlabs/tts-v2@2.0,0.6073,0.21459999999999996
100,infra.database.postgres,quality_first,2,"[""neon/serverless-postgres@v1"", ""supabase/database@v2""]","[""neon/serverless-postgres@v1"", ""supabase/database@v2""]",1.0,1.0,True,neon/serverless-postgres@v1,neon/serverless-postgres@v1,1.0,0.0
101,tool.data.scraping,balanced,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,1.0,True,jina/reader@v1,jina/reader@v1,0.9995,0.0
102,tool.productivity.todo,balanced,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,1.0,True,todoist/api@v2,todoist/api@v2,0.9363,0.0
103,tool.communication.email,speed_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,resend/email-api@v1,resend/email-api@v1,1.0,0.0
104,ai.code.completion,cost_first,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,github/copilot@v1,github/copilot@v1,1.0,0.0
105,tool.automation.browser,cost_first,2,"[""steel/browser@v1"", ""browserbase/api@v1""]","[""steel/browser@v1"", ""browserbase/api@v1""]",1.0,1.0,True,steel/browser@v1,steel/browser@v1,0.9991,0.0
106,tool.data.scraping,balanced,2,"[""jina/reader@v1"", ""firecrawl/scrape@v1""]","[""jina/reader@v1"", ""firecrawl/scrape@v1""]",1.0,1.0,True,jina/reader@v1,jina/reader@v1,0.9995,0.0
107,ai.code.completion,cost_first,2,"[""github/copilot@v1"", ""cursor/editor@v1""]","[""github/copilot@v1"", ""cursor/editor@v1""]",1.0,1.0,True,github/copilot@v1,github/copilot@v1,1.0,0.0
108,ai.llm.chat,balanced,8,"[""minimax/m2.7@2.7"", ""deepseek/deepseek-v4-flash@4.0"", ""qwen/qwen3-max@3.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5"", ""openai/gpt-4o@2024-11-20"", ""google/gemini-2.5-pro@2.5"", ""anthropic/claude-sonnet-4@4.0""]","[""openai/gpt-4o@2024-11-20"", ""minimax/m2.7@2.7"", ""qwen/qwen3-max@3.0"", ""anthropic/claude-sonnet-4@4.0"", ""google/gemini-2.5-pro@2.5"", ""deepseek/deepseek-v4-flash@4.0"", ""zhipu/glm-5@5.0"", ""moonshot/kimi-k2.5@2.5""]",0.07142857142857142,0.04761904761904767,False,minimax/m2.7@2.7,openai/gpt-4o@2024-11-20,0.8868,0.46680000000000005
109,tool.productivity.spreadsheet,speed_first,2,"[""google/sheets-api@v4"", ""airtable/api@v1""]","[""google/sheets-api@v4"", ""airtable/api@v1""]",1.0,1.0,True,google/sheets-api@v4,google/sheets-api@v4,1.0,0.0
110,ai.nlp.translation,cost_first,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
111,tool.data.search,quality_first,2,"[""tavily/search-api@v1"", ""exa/search-api@v1""]","[""exa/search-api@v1"", ""tavily/search-api@v1""]",-1.0,-1.0,False,tavily/search-api@v1,exa/search-api@v1,0.6015,0.203
112,ai.audio.stt,cost_first,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
113,tool.productivity.todo,cost_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]",1.0,1.0,True,todoist/api@v2,todoist/api@v2,0.8996,0.0
114,tool.communication.email,speed_first,2,"[""resend/email-api@v1"", ""twilio/sendgrid@v3""]","[""resend/email-api@v1"", ""twilio/sendgrid@v3""]",1.0,1.0,True,resend/email-api@v1,resend/email-api@v1,1.0,0.0
115,tool.productivity.todo,quality_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""ticktick/api@v2"", ""todoist/api@v2"", ""google/tasks-api@v1""]",0.3333333333333333,0.5,False,todoist/api@v2,ticktick/api@v2,0.8911,0.23029999999999995
116,ai.nlp.translation,cost_first,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
117,ai.llm.embedding,cost_first,2,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]","[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]",1.0,1.0,True,openai/text-embedding-3-large@3.0,openai/text-embedding-3-large@3.0,0.9671,0.0
118,ai.audio.stt,balanced,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
119,infra.database.vector,balanced,2,"[""qdrant/cloud@v1"", ""pinecone/index@v3""]","[""pinecone/index@v3"", ""qdrant/cloud@v1""]",-1.0,-1.0,False,qdrant/cloud@v1,pinecone/index@v3,0.9984,0.9967999999999999
120,ai.video.generation,quality_first,2,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]","[""google/veo-3.1@3.1"", ""kuaishou/kling-3.0@3.0""]",-1.0,-1.0,False,kuaishou/kling-3.0@3.0,google/veo-3.1@3.1,0.6769,0.35379999999999995
121,ai.nlp.translation,speed_first,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
122,tool.communication.chat,speed_first,2,"[""discord/api@v10"", ""slack/web-api@v2""]","[""discord/api@v10"", ""slack/web-api@v2""]",1.0,1.0,True,discord/api@v10,discord/api@v10,0.9992,0.0
123,ai.video.generation,cost_first,2,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]","[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]",1.0,1.0,True,kuaishou/kling-3.0@3.0,kuaishou/kling-3.0@3.0,0.9585,0.0
124,tool.devops.deployment,balanced,2,"[""vercel/platform@v1"", ""fly/machines@v1""]","[""vercel/platform@v1"", ""fly/machines@v1""]",1.0,1.0,True,vercel/platform@v1,vercel/platform@v1,1.0,0.0
125,ai.audio.tts,speed_first,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",-1.0,-1.0,False,openai/tts-1@1.0,elevenlabs/tts-v2@2.0,0.6073,0.21459999999999996
126,ai.llm.embedding,quality_first,2,"[""openai/text-embedding-3-large@3.0"", ""voyageai/voyage-3-large@3.0""]","[""voyageai/voyage-3-large@3.0"", ""openai/text-embedding-3-large@3.0""]",-1.0,-1.0,False,openai/text-embedding-3-large@3.0,voyageai/voyage-3-large@3.0,0.8629,0.7258
127,ai.nlp.translation,speed_first,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
128,ai.nlp.translation,balanced,2,"[""google/translate@v3"", ""deepl/translate@v2""]","[""google/translate@v3"", ""deepl/translate@v2""]",1.0,1.0,True,google/translate@v3,google/translate@v3,1.0,0.0
129,ai.video.generation,speed_first,2,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]","[""google/veo-3.1@3.1"", ""kuaishou/kling-3.0@3.0""]",-1.0,-1.0,False,kuaishou/kling-3.0@3.0,google/veo-3.1@3.1,0.5357,0.07139999999999996
130,ai.audio.tts,quality_first,2,"[""openai/tts-1@1.0"", ""elevenlabs/tts-v2@2.0""]","[""elevenlabs/tts-v2@2.0"", ""openai/tts-1@1.0""]",-1.0,-1.0,False,openai/tts-1@1.0,elevenlabs/tts-v2@2.0,0.5757,0.15139999999999998
131,ai.video.generation,cost_first,2,"[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]","[""kuaishou/kling-3.0@3.0"", ""google/veo-3.1@3.1""]",1.0,1.0,True,kuaishou/kling-3.0@3.0,kuaishou/kling-3.0@3.0,0.9585,0.0
132,tool.communication.chat,balanced,2,"[""discord/api@v10"", ""slack/web-api@v2""]","[""discord/api@v10"", ""slack/web-api@v2""]",1.0,1.0,True,discord/api@v10,discord/api@v10,0.9955,0.0
133,ai.audio.stt,speed_first,2,"[""deepgram/nova@v2"", ""openai/whisper@v1""]","[""deepgram/nova@v2"", ""openai/whisper@v1""]",1.0,1.0,True,deepgram/nova@v2,deepgram/nova@v2,1.0,0.0
134,tool.productivity.todo,quality_first,3,"[""todoist/api@v2"", ""ticktick/api@v2"", ""google/tasks-api@v1""]","[""ticktick/api@v2"", ""todoist/api@v2"", ""google/tasks-api@v1""]",0.3333333333333333,0.5,False,todoist/api@v2,ticktick/api@v2,0.8911,0.23029999999999995
